"geo_value","time_value","cli","inperson_school_fulltime","inperson_school_parttime","tested_14d","tested_positive_14d","covid_vaccinated_or_accept","covid_vaccinated","others_masked","public_transit_1d","work_outside_home_1d","shop_1d","restaurant_1d","spent_time_1d","large_event_1d","worried_become_ill","vaccine_likely_friends","vaccine_likely_who","vaccine_likely_govt_health","vaccine_likely_politicians","confirmed_7dav_incidence_prop","wearing_mask"
"06085",2021-01-30,0.7489505,8.9309577,9.3700108,18.9787695,12.9935381,88.7180503,13.4804273,93.9446729,1.2175056,26.4249386,43.7824881,3.7051566,18.2594069,1.5749843,74.8422746,44.3136956,49.6822877,45.8733209,13.5813321,32.2628127,97.3958872
"06087",2021-01-30,0.0536828,NA,NA,18.9908622,NA,90.1098212,15.5690061,91.2684239,1.5285962,28.1724674,49.1277521,3.8736125,21.2519597,0.8616717,75.9997707,34.2023187,48.746103,43.4035687,11.6280681,34.1364665,98.731603
"06089",2021-01-30,0.5936515,NA,NA,13.0215029,NA,69.9061373,16.9653873,76.2042564,1.9471765,23.9271425,51.3045228,8.5595066,29.5409853,7.5265261,66.6246542,32.7083692,29.2695967,26.6260588,5.0626057,30.2428445,85.1465322
"06095",2021-01-30,0.8200379,NA,4.7054658,13.8789776,NA,76.023452,13.5567526,93.915277,3.5919569,30.2001119,53.4054209,3.5990018,22.2158893,2.8351887,73.8693583,35.1999534,43.7611512,32.233535,11.6060561,40.7218052,97.3661887
"06097",2021-01-30,0.1286554,9.0757173,6.0326682,12.1691583,NA,88.8863255,14.4399442,94.5352979,1.6145316,29.4288102,50.8740796,6.7582902,24.6187523,2.0841061,72.3706519,38.0388418,46.3082256,38.7289246,11.1774589,30.040251,96.1687507
"06099",2021-01-30,1.4817385,27.6871401,28.6188016,14.2260043,NA,74.1605704,14.7582906,81.8457707,1.569926,29.0617496,52.8912036,9.9112884,25.5911451,5.5885664,74.980789,37.0786352,35.5082333,29.9312129,10.2611604,57.6538468,93.7869742
"06107",2021-01-30,1.0443934,10.4159522,23.9560768,14.5826992,NA,76.9783299,14.9386741,87.5313424,2.0256669,31.3231009,50.765395,3.6191061,26.7562944,6.6341273,78.1766081,37.1161404,42.2571662,31.3500044,11.7579151,62.3331179,95.1065965
"06111",2021-01-30,1.6578838,7.8923778,18.9795182,23.3802622,23.0723607,84.324546,12.2105571,89.5926665,0.9488564,26.2889953,48.8370137,4.8620762,22.1812508,2.7029125,77.5493503,43.0623811,47.1779254,40.0423218,13.3808718,76.251645,96.3460731
"06113",2021-01-30,0.9420075,NA,NA,30.7484671,NA,88.179985,19.0773776,93.8451005,0.3875687,33.5611803,52.173066,8.9677366,29.8359484,0.6395957,69.4573056,NA,NA,NA,NA,40.7646857,94.5214013
"08001",2021-01-30,0.8549565,35.0932573,49.0464484,13.483689,NA,78.4886742,12.0477448,88.7827927,2.6986819,40.5205004,48.9476636,12.9283342,28.7239592,7.9248677,75.7355495,34.9744628,42.7049814,34.3673904,11.7508552,22.0654043,92.9310315
"08005",2021-01-30,0.5330298,40.8204736,51.2956862,9.1518186,NA,82.9179323,10.9853676,89.8209647,3.7958331,37.0232495,50.0468015,15.9656282,29.8737555,6.1989168,68.923179,40.5147889,40.2288039,36.2014054,14.5357136,23.3803054,95.1293642
"08013",2021-01-30,0.0975241,37.8032429,44.9343156,14.9021991,NA,89.6805333,14.0960619,92.1734332,4.4061451,25.1288517,48.6849771,13.9755964,26.4489154,4.6009212,70.6939178,40.9693347,49.8308192,42.8540995,14.8214821,18.9939992,94.8955544
"08031",2021-01-30,0.4958004,NA,NA,17.5229869,NA,85.7848339,14.046169,90.2215993,5.6423875,31.4403195,49.5087701,15.3643465,28.5062967,5.8488072,71.4026684,37.7743791,44.6342273,35.5151418,13.3943305,21.2866539,97.7265573
